change_identifier,change_description,valid_from,old_schema_version,new_schema_version,change_type,old_class,new_class,old_parent_class,new_parent_class,old_class_meaning_binding,new_class_meaning_binding,old_property,new_property,old_domain,new_domain,old_range,new_range,old_individual,new_individual,old_individual_associated_class,new_individual_associated_class
10,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_1110039,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
11,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001191,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
12,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/SO_0001060,[],['https://biomedit.ch/rdf/sphn-resource/so/SO'],['https://biomedit.ch/rdf/sphn-ontology/sphn#GeneticVariation'],['https://biomedit.ch/rdf/sphn-schema/sphn#GeneticVariation'],,,,,,,,,,
13,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,modified,https://biomedit.ch/rdf/sphn-ontology/sphn#BodyWeight,https://biomedit.ch/rdf/sphn-schema/sphn#BodyWeight,['https://biomedit.ch/rdf/sphn-ontology/sphn#Measurement'],['https://biomedit.ch/rdf/sphn-schema/sphn#Result'],"['http://snomed.info/id/27113001', 'https://loinc.org/rdf/29463-7']","['http://snomed.info/id/27113001', 'https://loinc.org/rdf/29463-7']",,,,,,,,,,
14,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,modified,https://biomedit.ch/rdf/sphn-ontology/sphn#OxygenSaturation,https://biomedit.ch/rdf/sphn-schema/sphn#OxygenSaturation,['https://biomedit.ch/rdf/sphn-ontology/sphn#Measurement'],['https://biomedit.ch/rdf/sphn-schema/sphn#Result'],['http://snomed.info/id/103228002'],['http://snomed.info/id/103228002'],,,,,,,,,,
15,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://www.ebi.ac.uk/efo/EFO_0000001,[],['https://biomedit.ch/rdf/sphn-resource/efo/EFO'],[],[],,,,,,,,,,
16,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001821,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
17,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_1110049,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
18,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://edamontology.org/data_0006,[],['https://biomedit.ch/rdf/sphn-resource/edam/EDAM'],[],[],,,,,,,,,,
19,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0100634,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
20,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,modified,https://biomedit.ch/rdf/sphn-ontology/sphn#ElectrocardiographicProcedure,https://biomedit.ch/rdf/sphn-schema/sphn#ElectrocardiographicProcedure,['https://biomedit.ch/rdf/sphn-ontology/sphn#Procedure'],['https://biomedit.ch/rdf/sphn-schema/sphn#MedicalProcedure'],['http://snomed.info/id/29303009'],['http://snomed.info/id/29303009'],,,,,,,,,,
21,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0000427,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
22,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#Chromosome,https://biomedit.ch/rdf/sphn-schema/sphn#Chromosome,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],"['http://snomed.info/id/91272006', 'https://loinc.org/rdf/48000-4']","['http://snomed.info/id/91272006', 'https://loinc.org/rdf/48000-4']",,,,,,,,,,
23,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0002199,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
24,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0000368,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
25,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0002031,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
26,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0002145,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
27,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001717,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
28,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,https://biomedit.ch/rdf/sphn-schema/sphn#Hash_algorithm,[],['https://biomedit.ch/rdf/sphn-schema/sphn#ValueSet'],[],[],,,,,,,,,,
29,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001427,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
30,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0000453,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
31,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://www.orpha.net/ORDO/C010,[],['https://biomedit.ch/rdf/sphn-resource/ordo/ORDO'],[],[],,,,,,,,,,
32,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0002107,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
33,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0003245,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
34,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0000391,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
35,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0000928,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
36,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENO_0000856,[],['https://biomedit.ch/rdf/sphn-resource/geno/GENO'],[],[],,,,,,,,,,
37,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001757,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
38,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0002110,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
39,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001626,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
40,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0003254,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
41,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001725,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
42,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#Diagnosis,https://biomedit.ch/rdf/sphn-schema/sphn#Diagnosis,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],['http://snomed.info/id/439401001'],['http://snomed.info/id/439401001'],,,,,,,,,,
43,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#Quantity,https://biomedit.ch/rdf/sphn-schema/sphn#Quantity,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],[],[],,,,,,,,,,
44,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001811,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
45,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,modified,https://biomedit.ch/rdf/sphn-ontology/sphn#LabResult,https://biomedit.ch/rdf/sphn-schema/sphn#LabResult,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#Result'],['http://snomed.info/id/118246004'],[],,,,,,,,,,
46,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#MedicalDevice,https://biomedit.ch/rdf/sphn-schema/sphn#MedicalDevice,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],['http://snomed.info/id/63653004'],['http://snomed.info/id/63653004'],,,,,,,,,,
47,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0002133,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
48,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001620,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
49,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,modified,https://biomedit.ch/rdf/sphn-ontology/sphn#RadiotherapyProcedure,https://biomedit.ch/rdf/sphn-schema/sphn#RadiotherapyProcedure,['https://biomedit.ch/rdf/sphn-ontology/sphn#Procedure'],['https://biomedit.ch/rdf/sphn-schema/sphn#MedicalProcedure'],['http://snomed.info/id/108290001'],['http://snomed.info/id/108290001'],,,,,,,,,,
50,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001394,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
51,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0000066,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
52,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,https://biomedit.ch/rdf/sphn-schema/sphn#MicroorganismIdentificationResult,[],['https://biomedit.ch/rdf/sphn-schema/sphn#LabResult'],[],[],,,,,,,,,,
53,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001502,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
54,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0002988,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
55,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0002997,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
56,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#SubjectPseudoIdentifier,https://biomedit.ch/rdf/sphn-schema/sphn#SubjectPseudoIdentifier,['https://biomedit.ch/rdf/sphn-ontology/sphn#SPHNConcept'],['https://biomedit.ch/rdf/sphn-schema/sphn#SPHNConcept'],[],[],,,,,,,,,,
57,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#AdverseEvent_consequences,https://biomedit.ch/rdf/sphn-schema/sphn#AdverseEvent_consequences,['https://biomedit.ch/rdf/sphn-ontology/sphn#ValueSet'],['https://biomedit.ch/rdf/sphn-schema/sphn#ValueSet'],[],[],,,,,,,,,,
58,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001888,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
59,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001722,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
60,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001906,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
61,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,IRI Change,https://biomedit.ch/rdf/sphn-ontology/sphn#AdverseEvent_outcome,https://biomedit.ch/rdf/sphn-schema/sphn#AdverseEvent_outcome,['https://biomedit.ch/rdf/sphn-ontology/sphn#ValueSet'],['https://biomedit.ch/rdf/sphn-schema/sphn#ValueSet'],[],[],,,,,,,,,,
62,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001661,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
63,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0000011,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
64,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENO_0000642,[],['https://biomedit.ch/rdf/sphn-resource/geno/GENO'],[],[],,,,,,,,,,
65,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001704,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
66,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0002114,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
67,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/OBI_0001940,[],['https://biomedit.ch/rdf/sphn-resource/obi/OBI'],[],[],,,,,,,,,,
68,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/ECO_0000217,[],['https://biomedit.ch/rdf/sphn-resource/eco/ECO'],[],[],,,,,,,,,,
69,,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,https://biomedit.ch/rdf/sphn-ontology/sphn/2023/2,https://biomedit.ch/rdf/sphn-schema/sphn/2024/2,added,,http://purl.obolibrary.org/obo/GENEPIO_0001935,[],['https://biomedit.ch/rdf/sphn-resource/genepio/GENEPIO'],[],[],,,,,,,,,,
